kategorija;sifra-artikla;naziv-artikla;redovna-cena;akcijska-cena;popust;url;datum-akcije;važi u odabranim objektima;20.10.-26.10.2022.
1;7352098;Limun, 500g;119.99;59.00;0%;https://maxi.sales-snap.com/asset/1491:limun-500gpng;;;
1;7372071;Kruška Cepuna, 1kg;174.99;109.99;0%;https://maxi.sales-snap.com/asset/1492:kruskacepuna1kg-removebg-previewpng;3.2-9.2.2023.;;
1;7336806;Salata iceberg, 200g;144.99;99.99;0%;https://maxi.sales-snap.com/asset/1493:salataicebergmaxipijaca200g-removebg-previewpng;3.2-9.2.2023.;;
1;7290792;Jabuka Zlatni delišes domaći, 1kg;133.99;89.00;0%;https://maxi.sales-snap.com/asset/1494:jabukazlatnidelisesdomaci1kg-removebg-previewpng;3.2-9.2.2023.;;
1;7441357;Kobasica za pečenje, 450g;369.99;319.99;14%;https://maxi.sales-snap.com/asset/1495:kobasicazapecenje450g-removebg-previewpng;;;
1;7617851;Pileća KaoĐorđeva, 450g;499.99;449.99;10%;https://maxi.sales-snap.com/asset/1496:pilecakaodjordjeva450g-removebg-previewpng;;;
2;7175804;Maslac Moja kravica, 125g;311.99;269.99;13%;https://maxi.sales-snap.com/asset/1497:maslacmojakravica125g-removebg-previewpng;;;
2;7201532;Grill kobasica Topola, 360g;267.99;224.99;16%;https://maxi.sales-snap.com/asset/1498:grillkobasicatopola360g-removebg-previewpng;;;
2;7224534;Biser trapist 45%mm, 250g;549.99;349.00;37%;https://maxi.sales-snap.com/asset/1499:bisertrapist45mm250g-removebg-previewpng;;;
2;7432041;Čajna kobasica Maxi, 100g;155.99;99.00;37%;https://maxi.sales-snap.com/asset/1500:cajnakobasicamaxi100g-min-removebg-previewpng;;;
3;7184090;Jogurt Balans+ probiotic, 1kg;184.99;159.99;14%;https://maxi.sales-snap.com/asset/1501:jogurtbalansprobiotic1kg-removebg-previewpng1;;;
3;7185077;Kisela pavlaka 20%mm Moja Kravica, 180g ;97.99;79.99;18%;https://maxi.sales-snap.com/asset/1502:kiselapavlaka20mmmojakravicacasa180g-removebg-previewpng;;;
3;7205007;Tunjevina u maslinovom ulju Rio Mare, 3x80g;769.99;549.00;29%;https://maxi.sales-snap.com/asset/1503:tunjevinaumaslinovomuljuriomare3x80g1-removebg-previewpng;;;
3;7177165;Ulje maslinovo Extra virgin Monini, 1l;2131.00;1399.00;34%;https://maxi.sales-snap.com/asset/1504:uljemaslinovoextravirginmonini1l-removebg-previewpng;;;
4;7176016;Kafa mlevena Grand Gold, 200g;384.99;339.00;12%;https://maxi.sales-snap.com/asset/1505:kafamlevenagrandgold200g-removebg-previewpng;;;
4;7176157;Biskvit Jaffa, 300g;224.99;164.99;27%;https://maxi.sales-snap.com/asset/1506:biskvitjaffa300g1-removebg-previewpng;;;
4;7200879;Pivo Zaječarsko, 0.5l;89.99;73.00;19%;https://maxi.sales-snap.com/asset/1507:pivozajecarsko05l-removebg-previewpng;;;
4;7196556;Čokolada Milka noisette, 80g;154.99;119.99;23%;https://maxi.sales-snap.com/asset/1508:cokoladamilkanoisette80g-removebg-previewpng;;;
5;7430054;Galete kukuruzne NP, 130g;82.99;82.99;0%;https://maxi.sales-snap.com/asset/1509:galetekukuruznenp130g-removebg-previewpng;;;
5;7289483;Napitak od badema DLL, 1l;269.99;269.99;0%;https://maxi.sales-snap.com/asset/1510:napitakodbademadll1l-removebg-previewpng;;;
5;7436477;Corn flakes Maxi, 500g;217.99;217.99;0%;https://maxi.sales-snap.com/asset/1511:cornflakesmaxi500g-removebg-previewpng;;;
5;7219918;Čaj jagoda, vanila Maxi Premia, 40g;176.99;176.99;0%;https://maxi.sales-snap.com/asset/1512:cajjagodavanilamaxipremia40g-removebg-previewpng;;;
